Quidel,QDEL,3-26-20,Health Care
Co Star Group,CSGP,3-12-20,Real Estate
Sea Limited,SE,2-27-20,Foreign
NextEra Energy,NEE,2-12-20,Energy
Pinterest,PINS,1-23-20,Social Media
Intuitive Surgical,ISRG,1-9-20,Medical Devices
Freshpet,FRPT,12-19-19,Consumer Defensive
Insulet,PODD,12-5-19,Medical Devices
Peloton Interactive,PTON,11-27-19,Consumer Cyclical
Etsy,ETSY,11-14-19,Online Retail
Datadog,DDOG,10-24-19,Software Developer Helpers
Novocure,NVCR,10-10-19,Medical Devices
Zuora,ZUO,9-26-19,Business SAAS
Teladoc Health,TDOC,9-12-19,Health Care
Fastly,FSLY,8-22-19,Software Developer Helpers
New Oriental Education,EDU,8-8-19,China
Repligen,RGEN,7-25-19,Health Care
Roku,ROKU,7-11-19,Programmatic Advertising
Novocure,NVCR,6-27-19,Medical Devices
Zillow,Z,6-13-19,Real Estate
Uber,UBER,5-23-19,Consumer Defensive
Salesforce.com,CRM,5-9-19,Business SAAS
ShockWave Medical,SWAV,4-25-19,Medical Devices
Five Below,FIVE,4-11-19,Consumer Cyclical
Xilinx,XLNX,3-28-19,Semiconductors
Roku,ROKU,3-14-19,Programmatic Advertising
Redfin,RDFN,2-28-19,Real Estate
Guardant Health,GH,2-14-19,Health Care
NextEra Energy,NEE,1-24-19,Energy
Skechers USA,SKX,1-10-19,Consumer Cyclical
