Monster,MNST,1-23-20,Consumer Defensive,3
Atlassian,TEAM,1-1-20,Menards Used,4
Splunk,SPLK,1-1-20,Menards Used,3
Plural Sight,PS,1-1-20,Menards Used,1
Snap,SNAP,1-1-20,Social Media,2
Google,GOOG,1-1-20,Large Cap Tech,4
Amazon,AMZN,1-1-20,Large Cap Tech,3
Editas,EDIT,1-1-20,Health Care,2
Bilibi,BILI,1-1-20,China,2
iQiyi,IQ,1-1-20,China,2
Jumia,JMIA,1-1-20,Foreign,2
Mercado Libre,MELI,1-1-20,Foreign,2
Altria,MO,1-1-20,Defensive(Dividends),8
Waste Management,WM,1-1-20,Defensive(Dividends),5
British Petroleum,BP,1-1-20,Defensive(Dividends),5
Zoom,ZM,1-1-20,Business Utilities,2
Workday Inc,WD,1-1-20,Business Utilities,2
Wayfair,W,1-2-19,Online Retail,3
Twitter,TWTR,1-2-19,Social Media,1
